,StoreName,StoreCategory
1,Fresh St. Market,Groceries
2,IGA,Groceries
3,MarketPlace IGA in British Columbia only,Groceries
4,Buy-Low Foods,Groceries
5,Budget Foods,Groceries
6,Nesters Market,Groceries
7,Meinhardt Fine Foods,Groceries
8,Quality Foods,Groceries
9,Shop n' Save,Groceries
10,AG Foods,Groceries
11,Choices Markets,Groceries
12,Nature’s Fare Markets,Groceries
13,Overwaitea Food Group,Groceries
14,Bulkley Valley Wholesale,Groceries
15,PriceSmart Foods,Groceries
16,Save-On-Foods,Groceries
17,Urban Fare,Groceries
18,Atlantic Cash & Carry,Groceries
19,Atlantic Superstore,Groceries
20,Axep,Groceries
21,Bloor Street Market,Groceries
22,Dominion,Groceries
23,Les Entrepôts Presto,Groceries
24,Extra Foods,Groceries
25,Fortinos,Groceries
26,Freshmart,Groceries
27,L'Intermarché,Groceries
28,Loblaws,Groceries
29,Loblaw GreatFood,Groceries
30,Loblaws CityMarket,Groceries
31,Lucky Dollar Foods,Groceries
32,Maxi,Groceries
33,Maxi & Cie,Groceries
34,NG Cash & Carry,Groceries
35,No Frills,Groceries
36,Provigo,Groceries
37,Shop Easy Foods,Groceries
38,Pharmaprix,Groceries
39,SuperValu,Groceries
40,T & T Supermarket,Groceries
41,Valu-mart,Groceries
42,Wholesale Club,Groceries
43,Club Entrepôt,Groceries
44,Your Independent Grocer,Groceries
45,Independent CityMarket,Groceries
46,Zehrs Markets,Groceries
47,Les 5 Saisons,Groceries
48,Marché Adonis,Groceries
49,Marché AMI,Groceries
50,Marché Extra,Groceries
51,Marché Richelieu,Groceries
52,Super C,Groceries
53,Lawtons,Groceries
54,Needs Convenience,Groceries
55,Foodland some CO-OP stores in Atlantic Canada,Groceries
56,FreshCo,Groceries
57,"IGA Extra in Alberta, Manitoba, Quebec, some parts of Atlantic Canada formerly CO-OP Atlantic and Saskatchewan only",Groceries
58,Marché Bonichoix,Groceries
59,Marché Tradition,Groceries
60,Rachelle-Béry,Groceries
61,Safeway,Groceries
62,Thrifty Foods,Groceries
63,Pete's Frootique,Groceries
64,Farm Boy,Groceries
65,49th Parallel Grocery,Groceries
66,Asian Food Centre,Groceries
67,Askew's Foods,Groceries
68,Avril (Health Supermarket),Groceries
69,Bruno’s Fine Foods,Groceries
70,Coleman's,Groceries
71,Co-op Atlantic:,Groceries
72,Co-op Atlantic,Groceries
73,Valu Foods,Groceries
74,Village Food Stores,Groceries
75,Coppa's Fresh Market,Groceries
76,Country Grocer,Groceries
77,Fairway Markets,Groceries
78,Family Foods,Groceries
79,Calgary Co-op,Groceries
80,Heritage Co-op (Western Manitoba),Groceries
81,North Central Co-op,Groceries
82,Red River Co-op,Groceries
83,Saskatoon Co-op,Groceries
84,Foodex,Groceries
85,FoodFare,Groceries
86,Fresh City Market,Groceries
87,Freson Bros.,Groceries
88,Galleria Supermarkets,Groceries
89,Goodness Me!,Groceries
90,Grande Cheese,Groceries
91,H Mart,Groceries
92,Highland Farms,Groceries
93,Kim Phat,Groceries
94,Le Jardin Mobile,Groceries
95,L&M Markets (Hometown Grocers Co-op),Groceries
96,Lalumière Bonanza,Groceries
97,Le Marché Esposito,Groceries
98,Le Marché Végétarien,Groceries
99,Les Arpents Verts,Groceries
100,Lococo's,Groceries
101,Lucky Supermarket,Groceries
102,Marche Adonis [1],Groceries
103,Mike Dean Local Grocer[2],Groceries
104,Nations Fresh Food,Groceries
105,Nature's Emporium,Groceries
106,The North West Company,Groceries
107,Northern,Groceries
108,NorthMart,Groceries
109,Organic Garage,Groceries
110,Panchvati Supermarket,Groceries
